libwnck3 3.24.1-1
libwpd 0.10.2-1
libwpg 0.3.2-1
libwps 0.4.7-1
libx11 1.6.5-1
libx264 2:148.20170521-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfce4ui 4.12.1-2
libxfce4util 4.12.1-1
libxfixes 5.0.3-1
libxfont 1.5.3-1
libxfont2 2.0.2-1
libxft 2.3.2-1
libxi 1.7.9-1
libxinerama 1.1.3-2
libxkbcommon 0.7.2-1
libxkbcommon-x11 0.7.2-1
libxkbfile 1.0.9-1
libxklavier 5.4-1
libxml2 2.9.7+4+g72182550-2
libxmu 1.1.2-1
libxpm 3.5.12-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxres 1.2.0-1
libxshmfence 1.2-1
libxslt 1.1.32+3+g32c88216-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libyaml 0.1.7-1
libzmf 0.0.2-2
licenses 20171006-1
lilv 0.22.0-2
linux 4.13.12-1
linux-api-headers 4.12.7-1
linux-firmware 20171009.bf04291-1
linux-headers 4.13.12-1
llvm-libs 5.0.0-1
lm_sensors 3.4.0-2
logrotate 3.12.3-1
lpsolve 5.5.2.5-2
lshw B.02.18-2
lua 5.3.4-2
lua52 5.2.4-2
lua52-bitop 1.0.2-8
lua52-expat 1.3.0-3
lua52-lpeg 1.0.1-1
lua52-luajson 1.3.3-2
lua52-socket 20160311-1
lv2 1.14.0-2
lvm2 2.02.176-1
lz4 1:1.8.0-1
lzo 2.10-1
m4 1.4.18-1
make 4.2.1-2
man-db 2.7.6.1-2
man-pages 4.13-1
mdadm 4.0-1
mesa 17.2.5-1
mime-types 9-1
mjpegtools 2.1.0-3
mkinitcpio 24-2
mkinitcpio-busybox 1.27.2-1
mobile-broadband-provider-info 20170310-1
mousepad 0.4.0-3
mozilla-common 1.4-4
mpfr 3.1.5.p2-1
mpg123 1.25.7-1
mtdev 1.1.5-1
musescore 2.1.0-1
nano 2.9.0-1
ncurses 6.0+20170902-3
neon 0.30.2-2
netbeans 8.2-1
netcdf 4.5.0-1
netctl 1.14-1
nettle 3.4-1
network-manager-applet 1.8.7dev+3+g3d7c0a89-1
networkmanager 1.10.0-1
nftables 1:0.7-3
ninja 1.8.2-1
nm-connection-editor 1.8.7dev+3+g3d7c0a89-1
npth 1.5-1
nspr 4.17-1
nss 3.34-1
ntfs-3g 2017.3.23-1
ocl-icd 2.2.11-1
openal 1.18.2-1
opencore-amr 0.1.5-1
openexr 2.2.0-3
openjpeg 1.5.2-1
openjpeg2 2.3.0-1
openresolv 3.9.0-1
openssh 7.6p1-1
openssl 1.1.0.g-1
openssl-1.0 1.0.2.l-1
opera 49.0.2725.39-1
opera-ffmpeg-codecs 62.0.3202.89-1
opus 1.2.1-1
orage 4.12.1-3
orc 0.4.28-1
osinfo-db 20170423-1
ostree 2017.13-1
oxygen-icons 1:5.40.0-1
p11-kit 0.23.9-1
p7zip 16.02-3
package-query 1.9-1
packagekit 1.1.7-1
pacman 5.0.2-2
pacman-mirrorlist 20171027-1
pam 1.3.0-1
pambase 20171006-1
pango 1.40.14-1
pangomm 2.40.1-2
parted 3.2-6
patch 2.7.5-1
pavucontrol 3.0-4
pciutils 3.5.5-1
pcmciautils 018-7
pcre 8.41-1
pcre2 10.30-1
perl 5.26.1-1
perl-encode-locale 1.05-3
perl-error 0.17025-2
perl-file-listing 6.04-4
perl-file-which 1.22-1
perl-html-parser 3.72-5
perl-html-tagset 3.20-6
perl-http-cookies 6.04-2
perl-http-daemon 6.01-5
perl-http-date 6.02-4
perl-http-message 6.13-2
perl-http-negotiate 6.01-4
perl-io-html 1.001-3
perl-libwww 6.26-3
perl-lwp-mediatypes 6.02-4
perl-net-http 6.17-1
perl-try-tiny 0.28-3
perl-uri 1.72-2
perl-www-robotrules 6.02-4
perl-xml-parser 2.44-6
pinentry 1.0.0-1
pixman 0.34.0-1
pkg-config 0.29.2-1
polkit 0.113+29+g3272a98-1
polkit-gnome 0.105-3
poppler 0.61.1-1
poppler-glib 0.61.1-1
popt 1.16-9
portaudio 190600_20161030-1
portsmf 228-2
potrace 1.14-1
presentproto 1.1-1
procps-ng 3.3.12-1
psmisc 23.1-1
pulseaudio 11.1-1
pulseaudio-alsa 2-3
pulseaudio-bluetooth 11.1-1
pygobject-devel 3.26.1-1
pygobject2-devel 2.28.6-13
pygtk 2.24.0-7
python 3.6.3-1
python-appdirs 1.4.3-1
python-cairo 1.15.4-1
python-dbus 1.2.4-2
python-dbus-common 1.2.4-2
python-gobject 3.26.1-1
python-kivy 1.10.0-1
python-packaging 16.8-2
python-pip 9.0.1-3
python-pyparsing 2.2.0-1
python-setuptools 1:37.0.0-1
python-six 1.11.0-1
python-xdg 0.25-4
python2 2.7.14-1
python2-cairo 1.15.4-1
python2-gobject2 2.28.6-13
python2-numpy 1.13.3-1
qpdf 7.0.0-1
qrencode 4.0.0-1
qt4 4.8.7-23
qt5-base 5.9.2-2
qt5-declarative 5.9.2-2
qt5-location 5.9.2-2
qt5-quickcontrols 5.9.2-1
qt5-sensors 5.9.2-1
qt5-serialport 5.9.2-1
qt5-svg 5.9.2-1
qt5-tools 5.9.2-1
qt5-webchannel 5.9.2-1
qt5-webkit 5.212.0alpha2-8
qt5-x11extras 5.9.2-1
qt5-xmlpatterns 5.9.2-1
randrproto 1.5.0-1
raptor 2.0.15-7
rasqal 1:0.9.33-1
readline 7.0.003-1
recode 3.6-10
recordproto 1.14.2-2
redland 1:1.0.17-4
redshift 1.11-4
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
resourceproto 1.2.0-3
rest 0.8.1-1
rhash 1.3.5-2
ristretto 0.8.2-1
rpmextract 1.0-7
rsync 3.1.2-8
rtkit 0.11+6+g417bb7d-1
rtmpdump 1:2.4.r96.fa8646d-3
ruby 2.4.2-1
ruby-hpricot 0.8.6-5
ruby-mustache 1.0.3-2
ruby-rdiscount 2.2.0.1-2
ruby-ronn 0.7.3-6
run-parts 4.8.1-1
s-nail 14.9.5-1
sbc 1.3-1
sbsms 2.0.2-2
schroedinger 1.0.11-3
scrnsaverproto 1.2.2-2
sddm 0.16.0-1
sdl 1.2.15-9
sdl2 2.0.7-1
sdl2_image 2.0.1-2
sdl2_mixer 2.0.2-2
sdl2_ttf 2.0.14-1
sdl_image 1.2.12-4
sed 4.4-1
serd 0.22.0-1
shadow 4.5-2
shared-mime-info 1.9-1
slang 2.3.1a-1
smpeg2 1:2.0.0-2
sord 0.14.0-1
sound-theme-freedesktop 0.8-2
soundtouch 2.0.0-1
spandsp 0.0.6-1
speex 1.2.0-1
speexdsp 1.2rc3-2
sqlite 3.21.0-1
sratom 0.4.6-1
startup-notification 0.12-5
steadyflow 0.2.0-6
sudo 1.8.21.p2-1
suil 0.8.2-2
sysfsutils 2.1.0-9
systemd 235.38-2
systemd-sysvcompat 235.38-2
t1lib 5.1.2-6
taglib 1.11.1-1
tar 1.29-2
tcl 8.6.7-1
tdb 1.3.15-1
teamviewer 12.0.85001-7
telepathy-glib 0.24.1-1
texinfo 6.5-1
texlive-bibtexextra 2017.45810-1
texlive-bin 2017.44590-9
texlive-core 2017.45811-1
texlive-fontsextra 2017.45696-1
